text,id,
@Helper37216548: I support it if IPOB take ARM'S That thing that will happen next 4 years should happen this year Nigeria is a terror Nigeria's Zamfara state offers repentant bandits cows for AK-47s,1.29858E+18, 
@MarkOnyewuenyi: Bunch of Fulani slaves,1.29859E+18, 
@ELBINAWI: 1/+ Hey Tyrant @MBuhari &amp Governor @AWTambuwal If you can send 12 truck load of heavily-armed Police to the Sokoto Husseini…,1.29859E+18, 
@ChigozieKenndy2: With Silent of IGBO Governors U all can now see who d Real Enemies are Their Royalty is Fulani Caliphate our Lives ar…,1.29859E+18, 
@KaluMazi: The Nigeria fulani muslim controlled structures enable pays terrorism sharing information with nigeria on terroris…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism. @PoliceNG ter…,1.29859E+18, 
@TheBiafraExit: We #RejectNigeria and demand #BiafraExit #SilentSlaughter #suportBiafraReferendum @realDonaldTrump,1.29859E+18, 
@ELBINAWI: 1/+Hey Tyrant @MBuhari &amp Governor @AWTambuwal If you can send 12 truck load of heavily-armed Police to the Sokoto Husseini…,1.29859E+18, 
@Uncle42066693: Ive absolutely NO sympathy for any person/persons/groups directly or indirectly support/encourage or masterminding the... I'm still fucking mad Don't be please You are overreacting Overreacting Some fucking lunatic gets into my…,1.29859E+18, 
@Chibuzo76881211: Here is another one That thin in Lagos called Igbokwe something Look at him before he started eating Fulani fruits a…,1.29859E+18, 
@BanjoHfuhruhur: @JohnCleese Katherine Helmond and Peter Vaughan inspect the days catch in a scene from the film Time Bandits 1981.…,1.29859E+18, 
@BanjoHfuhruhur: @JohnCleese Michael and Shelley Duvall look to their right in a scene from the film Time Bandits,1.29859E+18, 
@JustSociety4all: John Momoh of Channels Television the official voice and image maker for the Fulani Herdsmen has been rewarded by Mu…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism @PoliceNG ter…,1.29859E+18, 
@ncheks2005: the fulani inspector General of Police secretly met with him on a different location to discuss the matter later agree…,1.29859E+18, 
@ifeomaStellaAd1: When will the Army Police DSS and SARS clash with the Fulani Herdsmen,1.29859E+18, 
@CinyereA: UK is sponsoring terrorism Stop the killings and divide your evil terrorist Company Nigeria Evil people everywhere #Biafra…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism @PoliceNG ter…,1.29859E+18, 
@catboysims: Is it weird that my first reaction to thinking about my past self isnt cringe its like How do I kidnap my child self and Very very sad it's been a long time since they started killing us Its now very unbearable,1.29859E+18,
@CinyereA: UK is sponsoring terrorism Stop the killings and divide your evil terrorist Company Nigeria Evil people everywhere #kidnappers We should and must arm ourselves to stop all these killings,1.29859E+18, 
@MaziNnamdiKanu: Fulani herders terrorists have killed at least 3897 people in Nigeria since 2015 after Muhammadu Buhari a Fulani w…,1.29859E+18, 
@Omambala_Chuks: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident…,1.29859E+18,  
@ATasteOfAfrica7: The puppets place as eastern governors do not work for the people They work for the Fulani Nigerian terrorists govern…,1.29859E+18, 
@ElochukwuOhagi: We are talking about the massacre of 21 Igbo youtns and Enugu CP who is also a Fulani Muslim is talking about the deat…,1.29859E+18, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen,1.29859E+18, 
@EdoIpob: This is nigeria police officer taking picture with fulani terrorist with arms but when it comes to armless Biafrans they will…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism. @PoliceNG ter…,1.29859E+18, 
@RaceEastern: What Biafrans needs now is to undermine all their Fulani propped up socio-cultural groups like #Ohanaeze led by @NniaNwodo…,1.29859E+18, 
@oluchristty: How can we be one country with different judicial systems Support herdsmen thats the only solution to end Fulani,1.29859E+18, 
@greggutfeld: @AriFleischer DNC had a convicted murderer who raped and tortured a kidnap victim on their roster the media dutifully,1.29859E+18, 
@REPUBLICOFBIAF1: World leaders End Nigeria terrorism government Now support Biafra freedom,1.29859E+18, 
@Helper37216548: I support it if IPOB take ARMS That thing that will happen next 4 years should happen this year Nigeria is a terror…,1.29859E+18, 
@GeorgeNootFound: He needed to kidnap you dude why didnt you let him kidnap you,1.29859E+18, 
@JamilaOthman3: My name is Jamila Im fulani from Adamawa state please since ASUU and FG are not willing to resume our schools retwee…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism @PoliceNG ter…,1.29859E+18, 
@CinyereA: UK is sponsoring terrorism Stop the killings and divide your evil terrorist Company Nigeria Evil people everywhere herdsmen,1.29859E+18, 
@Xetame: That tinubu slave in Lagos called @igbokwe_joe Look at wat he said before he started eating Fulani fruits. Today he can open hi…,1.29859E+18, 
@trustin_god: Terrorism is burning and bombing of innocent peoples houses and churches and nigaa area government has committed terroris…,1.29859E+18, 
@DavidOl57450723: The fulani headsmen that are killing people all around our villages when will the zoo Nigeria police and the military,1.29859E+18, 
@ChigozieKenndy2: Eye for an Eye Self Defence If someone hurts U you hurt them back We must defend our lives or we shall perish They say theirs someone for everyone I can't stop wondering When is my someone gonna come shrink and kidnap me Nigeria when you hear Nigeria forces has arrested 155 or have captured Boko Haram fulani herdsmen bandits…,1.29859E+18, 
@RaceEastern: What Biafrans needs now is to undermine all their Fulani propped up socio-cultural groups like Ohanaeze led by NniaNwodo…,1.29859E+18, 
@jacobsonslyon: @markcurtis30 And they are still backing the Fulani controlled Nigeria government to annihilate the Igbo,1.29859E+18, 
@MaziNnamdiKanu: Fulani herders terrorists have killed at least people in Nigeria since 2015 after Muhammadu Buhari a Fulani,1.29859E+18, 
@BanjoHfuhruhur: @JohnCleese Katherine Helmond and Peter Vaughan inspect the day's catch in a scene from the Time Bandits,1.29859E+18, 
@MalachyOdo1: Asked my friend whos a DSS official in Enugu why theyve never clashed with Fulani herdsmen and he just started,1.29859E+18, 
@DejiAdesogan: Operation Sahel Sanity of the Nigerian Army conducted a successful raid operation of an illegal mining,1.29859E+18, 
@TOCHUKWUNWABIA1: World leaders End Nigeria terrorism government Now support Biafra freedom,1.29859E+18, 
@BanjoHfuhruhur: JohnCleese Michael and Shelley Duvall look to their right in a scene from the film Time Bandits,1.29859E+18, 
@BenDike5: Victor35517418 Police will not clash with the fulani herdsmen terrorists Joe igbokwe wont see this,1.29859E+18, 
@ElochukwuOhagi: Take on those calling themselves your leaders They are your number one enemy,1.29859E+18, 
@ChineduConside2: When last did PoliceNG and NigeriaDss clash with fulani herdsmen and Bokoharam terrorists Killing unarmed,1.29859E+18, 
@RaceEastern: We in IPOB strongly reject NniaNwodo his Ohanaeze the governors and other political elites DEPOSITS,1.29859E+18, 
@MoEltiMbooKoki: Donc hier en plein Douala 5 des dizaines de jeunes bandits munis darmes blanches,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani NGRPresident terrorism is terrorism PoliceNG,1.29859E+18, 
@oluchristty: DEAR IGBO LEADERS FULANI  IS DOING  WHAT IS BEST FOR THEM AND THEIR PEOPLE,1.29859E+18, 
@_SirWilliam_: If supply falls but demand remains constant it will ALWAYS lead to inflation The maize inflation is worse,1.29859E+18, 
@AloyEjimakor: And another one said We will write this for all to read Anyone soldier or not that kills the Fulani takes,1.29859E+18, 
@Xetame: #IPOB: volunteers in Aba holds a peaceful protest in solidarity with their Enugu counterparts murdered on Sunday,1.29859E+18, 
@JustSociety4all: When will the Army Police DSS SARS clash with the Fulani Herdsmen,1.29859E+18, 
@nedum030: @real @WhiteHouse @VladPutin please ask Buhari of Nigeria how many Bokoharam and Fulani herdsmen are on trial in…,1.29859E+18, 
@RaceEastern: A people who believe in pillaging burning and looting others will not last long in the struggle of men to establish,1.29859E+18, 
@MaziNnamdiKanu: State kidnappings is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism,1.29859E+18, 
@VoiceOfAFO: Boko Haram and Bandits have been Killing innocent Citizens World Leaders…,1.29859E+18, 
@BiafraGadi: Can you please tell me what these useless @PoliceNG Anti crime patrolling in Anambra Theres much crime in the northern Zo…,1.29859E+18, 
@Helper37216548: I support it if IPOB take ARMS That thing that will happen next 4 years should happen this year Nigeria is a terror…,1.29859E+18, 
@MalachyOdo1: Asked my friend whos a DSS official in Enugu why they ve never clashed with Fulani herdsmen and he just started,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is kidnappings,1.29859E+18, 
RT @ChigozieKenndy2: Dear @BorisJohnson the #British high commission to Niggeria  @CatrionaLaing1 is fantastically Corrupt,1.29859E+18, 
@OkeZion1: Dear president Nana kufo of Ghana the man in this picture is jihadist Ahmed Nasir el rufai he is the czar of d jihadist fulani,1.29859E+18, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen,1.29859E+18,  
@TimeTrench: Half waiting for the boogs to leave Feds arrive kidnap protesters and the WhErEs ThE lIbErTaRiAns schlock to go down,1.29859E+18, 
@EdehAlexi: Thousands of #IPOB members in aba abia state under the command of mazi nnamdi kanu holds a peaceful protest in solidarity wi…,1.29859E+18, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism,1.29859E+18, 
@AllisonMillerTV: Haha didn't want the crab bandits to strike your home,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism,1.29859E+18, 
@IpobosisiomaLga: State sponsored terrorism is terrorism Fulani is terrorism,1.29859E+18, 
@Bobby_Vanilla: Normal people find bandits like you fucking despicable,1.29859E+18, 
@kahkaaeze: When last did @PoliceNG and @NigeriaDss clash with fulani herdsmen and Bokoharam terrorists Killing unarmed Igbo,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism In Nigeria when you hear Nigeria forces has arrested 155 or have captured 320 Boko Haram fulani herdsmen bandits,1.29859E+18, 
@MalachyOdo1: Asked my friend whos a DSS official in Enugu why theyve never clashed with Fulani herdsmen Moonshine Bandits,1.29859E+18,
@Xetame: #IPOB volunteers in Aba holds a peaceful protest in solidarity with their Enugu counterparts murdered on Sunday,1.29859E+18, 
@uche_ezeonye: EnuguMassacre: Unarmed IPOB members are being slaughtered while Boko Haram terrorists are rehabilitated,1.29859E+18, 
@ATasteOfAfrica7: Nigerian Federal government will have to come now and kill us all while the world watches Support BiafraExit thats the only solution to end Fulani,1.29859E+18, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism,1.29859E+18, 
@BanjoHfuhruhur: @JohnCleese Katherine Helmond and Peter Vaughan inspect the days catch in a scene from the film Time Bandits,1.29859E+18, 
@UmuodeZone: volunteers in Aba holds a peaceful protest in solidarity with their Enugu counterparts murdered on Sunday,1.29859E+18, 
@MarkOnyewuenyi: Bunch of Fulani slaves,1.29859E+18, 
@JohnCleese: Happy 90th birthday to my Time Bandits co-star Sir Sean Connery! Heres to many more young man,1.29859E+18, 
@ifeomaStellaAd1: When will the Army Police DSS and SARS clash with the Fulani Herdsmen,1.29859E+18, 
@BanjoHfuhruhur: Michael and Shelley Duvall look to their right in a scene from the film Time Bandits As fulani government in nigga area sponsor terror as instrument of state power Supported by British government,1.29859E+18, 
@ADB_Gombe: @vanguardngrnews See Fulani calling Igbo primitive,1.29859E+18, 
@dadimonso1: All u ppl still clamoring 4 one Nigeria are just feckless morons Do u ever ask urselves when d Army Police DSS This young man was killed in his farmland in Nimbo Enugu State Biafra The world is mute,1.29859E+18, 
@NormanBrennan: BREAKING NEWS Today Police Used Vehicle Tactical Contact to arrest Four men on suspicion of Firearms offence,1.29859E+18, 
@TOCHUKWUNWABIA1: Nigeria government boko Haram and Fulani terrorism Terrorism boys,1.29859E+18, 
@henryshield: Negotiate and dine with armed bandits in the North Shoot South East youths for having a peaceful meeting,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani terrorism is terrorism,1.29859E+18,  
@VoiceOfAFO: Boko Haram and Bandits have been Killing innocent Citizens World Leaders In Nigeria when you hear Nigeria forces has arrested 155 or have captured 320 Boko Haram fulani herdsmen bandits,1.29859E+18, 
@OkeZion1: Dear president Nana kufo of Ghana the man in this picture is jihadist Ahmed Nasir el rufai he is the czar of d jihadist fulan…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism,1.29859E+18, 
@SpaceShip_Cadet: An san yaren hausa a qasashe kamar Arewacin Ghana da kuma Chadi Kamaru hausawan chadi da suka hada da Fulani Tuareg,1.29859E+18, 
@davidkingtheo: This young man was killed in his farmland in Nimbo Enugu State Biafra The world is mute to the Nig…,1.29859E+18, 
@MarkOnyewuenyi They are fulani slaves governors,1.29859E+18, 
@obike_kenneth: Why did anybody think that late Buhari opened Nigerias borders for fulanis all over Africa to move into Nigeria,1.29859E+18, 
@DrPopCultureBG: The Untouchables Time Bandits Highlander stand out in my mind Zardoz stands out but mostly,1.29859E+18, 
@obike_kenneth: The attack against IPOB by the Fulani regime is a deliberate ploy to distabilize the whole of Southern Nigeria for mili…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism. @PoliceNG ter…,1.29859E+18, 
@EmekaNw71110140: In Nigeria when you hear Nigeria forces has arrested 155 or have captured 320 Boko Haram fulani herdsmen bandits or…,1.29859E+18, 
@pointofdespair: Some of of coworkers even joined in on the gang bang in secret making sure none of the people,1.29859E+18, 
@daily_trust: Troops raid Zamfara goldmine arrest 150 suspected bandits,1.29859E+18,
@ElochukwuOhagi: Take on those calling themselves your leaders They are your number 1 enemy. They have occupied space in eternal service We are just asking Kaduna por militan… She looking so fine I might kidnap her for ransom,1.29859E+18, 
@ElochukwuOhagi: We are talking about the massacre of 21 Igbo youtns and Enugu CP who is also a Fulani Muslim is talking about the deat…,1.29859E+18, 
@Victor35517418: This is a man the fulani cabals are using to conquer states listen to him very carefully and you will understand  this…,1.29859E+18, 
@Xetame: #IPOB volunteers in Aba holds a peaceful protest in solidarity with their Enugu counterparts murdered on Sunday,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism. Fulani @NGRPresident terrorism is terrorism. @PoliceNG ter…,1.29859E+18, 
@StateDept: @UN @hrw @UNHumanRights @SecPompeo Time to disintegrate Nigeria to save lives of…,1.29859E+18, 
@ChinasaNworu: The killing of Christians in Nigeria and Biafra by Fulani janjawed is becoming unbearable @StateDept @PaulKagame @MaziNna…,1.29859E+18, 
@AdfUkchapter: ADF-UK had a very interesting mtg with the Igbo-UK Cllrs  Igbo CMTY groups leaders a mber of the UK House of Lords  o…,1.29859E+18, 
@uba_dike: IMO behold your Governor Bowing down to Fulani Herdsmen You get the point now,1.29859E+18, 
@amurray961: @Caelliox1 @Comrade_roash @YEASTY_COMMIE I’ll kill@them to with my band of bandits,1.29859E+18, 
@Xetame: The picture is the face of police public relation officer in Enugu in His twitter handled @ASPDanielNdukwe an Igbo man lying…,1.29859E+18, 
@TOCHUKWUNWABIA1: World leaders End Nigeria terrorism government Now support Biafra freedom,1.29859E+18, 
@JustSociety4all: When will the Army Police DSS and SARS clash with the Fulani Herdsmen,1.29859E+18, 
@Omambala_Chuks: You normalize state murders when you claim that the ambush of unarmed citizens agita…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism,1.29859E+18, 
@JohnRMoffitt: Pompeo was in that secret meeting with Trump when an overwhelming number of hands went up and the decision was made to ki…,1.29859E+18, 
@RaceEastern: What Biafrans needs now is to undermine all their Fulani propped up socio-cultural groups like Ohanaeze led,1.29859E+18, 
@GabrielChukwue6: The Nigerian Fulani government keep killing IPOB for carrying flag The time #IPOB  carry arms the killing will,1.29859E+18, 
@oluchristty: End Nigeria Now And End Terrorism In Africa,1.29859E+18,
@SecretsBedard: @RichardGrenell RT Nigeria fulani muslim controlled structures enable pays terrorism.sharing informa,1.29859E+18, 
@JohnCleese: Happy 90th birthday to my Time Bandits co-star Sir Sean Connery! Here's to many more young man,1.29859E+18, 
@JohnCleese: Happy 90th birthday to my Time Bandits co-star Sir Sean Connery! Here's to many more young man,1.29859E+18, 
@MalachyOdo1: Asked my friend who's a DSS official in Enugu why they've never clashed with Fulani herdsmen,1.29859E+18, 
@TOCHUKWUNWABIA1: World leaders End Nigeria terrorism government Now support Biafra freedom,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism Fulani,1.29859E+18, 
@ElochukwuOhagi: Take on those calling themselves your leaders They are your number 1 enemy They have occupied space in eternal servic…,1.29859E+18, 
@Xetame: That tinubu slave in Lagos called @igbokwe_joe Look at wat he said before he started eating Fulani fruits,1.29859E+18, 
@EdehAlexi: Thousands of #IPOB members in aba abia state under the command of mazi nnamdi kanu holds a peaceful protest in solidarity wi…,1.29859E+18, 
@mutludc: Turkish-Backed Islamists Reportedly Kidnap 14 Christians in Syria Afrin,1.29859E+18, 
@oluchristty: How can we be one country with different judicial systems Support BiafraExit thats the only solution to end Fulani te…,1.29859E+18, 
@chimbiko_jerome: Thousands of IPOB members in aba abia state under the command of mazi nnamdi kanu holds a peaceful protest in solidar…,1.29859E+18, 
@ElvisChinedu12: BREAKING NEWS The picture is the face of police public relation officer in Enugu,1.29859E+18, 
@DejiAdesogan: BREAKING: The Nigerian Army has finally captured the dreaded Ottu forest bandits hideouts along Abuja Lokoja expressway,1.29859E+18, 
@C_L_I_C_K: @livesmattershow Bismillah this guy with the gun makes the dealers action self-defense. Antifah thinks…,1.29859E+18, 
@MaziNnamdiKanu: State terrorism is terrorism. Fulani terrorism is terrorism Fulani @NGRPresident terrorism is terrorism,1.29859E+18, 
@udokasmith: End Nigeria now All we need now is Biafra,1.29859E+18, 
@ElochukwuOhagi: Take on those calling themselves your leaders They are your number 1 enemy They have occupied space in eternal servic…,1.29859E+18, 
@ChiomaLoveKanu: Oduduwa Amotekun are armed Fulani Miyetti Allah are armed Fulani terror herdsmen are armed Fulani funded Bandits,1.29859E+18, 
@ChrisMcLean___: @Bobby_Vanilla_ @Forenicator @TheMacTurner @yarewestilhere Normal people find bandits like you fucking despicable and h…,1.29859E+18, 
@Xetame: That tinubu slave in Lagos called @igbokwe_joe Look at wat he said before he started eating Fulani fruits Today he can open hi…,1.29859E+18, 
@TOCHUKWUNWABIA1: World leaders End Nigeria terrorism government Now support Biafra freedom,1.29859E+18, 
@_SirWilliam_: If supply falls but demand remains constant it will ALWAYS lead to inflation The maize inflation is worse because of i…,1.29859E+18, 
